id,vectors,meta.case_id,meta.advocates,meta.win_side,meta.votes_side,year
23488,[],2001_01-400,"{'michael_e_moore': {'side': 1, 'role': 'for the petitioner'}, 'lisa_s_blatt': {'side': 2, 'role': 'argued the cause for the United States as amicus curiae urging reversal'}, 'robert_l_hutton': {'side': 0, 'role': 'for the respondent'}, 'walter_e_dellinger_iii': {'side': 2, 'role': 'for the National Association of Criminal Defense Lawyers as amicus curiae urging affirmance'}, 'pamela_harris': {'side': 2, 'role': 'for the National Association of Criminal Defense Lawyers as amicus curiae urging affirmance'}, 'david_m_porter': {'side': 2, 'role': 'for the National Association of Criminal Defense Lawyers as amicus curiae urging affirmance'}, 'larry_w_yackle': {'side': 2, 'role': 'for the American Civil Liberties Union et al. as amicus curiae'}, 'steven_r_shapiro': {'side': 2, 'role': 'for the American Civil Liberties Union et al. as amicus curiae'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 0, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 1, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
22577,[],2001_01-332,"{'paul_d_clement': {'side': 2, 'role': 'Argued the cause for the United States, as amicus curiae, supporting the petitioners'}, 'graham_a_boyd': {'side': 0, 'role': 'Argued the cause for the respondents'}, 'linda_m_meoli': {'side': 1, 'role': 'Argued the cause for the petitioners'}, '': {'side': 2, 'role': 'argued the cause for the United States as amicus curiae urging reversal'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 0, 'j__sandra_day_oconnor': 0, 'j__antonin_scalia': 1, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 0, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 0, 'j__stephen_g_breyer': 1}",2001
22804,[],2001_01-301,"{'stanley_a_cross': {'side': 1, 'role': 'Sacramento, California, argued the cause for the petitioner'}, 'david_w_ogden': {'side': 0, 'role': 'Argued the cause for the respondent'}, 'supervising_deputy_attorney_general': {'side': 1, 'role': 'for petitioner'}}",1,"{'j__william_h_rehnquist': 0, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 0, 'j__anthony_m_kennedy': 0, 'j__david_h_souter': 1, 'j__clarence_thomas': 0, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
21524,[],2001_00-927,"{'patrick_j_veters': {'side': 0, 'role': 'Argued the cause for the respondent'}, 'matthew_d_roberts': {'side': 1, 'role': 'Department of Justice, argued the cause for the petitioner'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
21456,[],2001_00-1406,"{'samuel_r_bagenstos': {'side': 0, 'role': 'Argued the cause for the respondent'}, 'lisa_s_blatt': {'side': 2, 'role': 'Department of Justice, argued the cause, as amicus curiae, supporting the petitioner'}, 'stephen_m_shapiro': {'side': 1, 'role': 'Argued the cause for the petitioner'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 1, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
21306,[],2001_00-507,"{'edward_c_dumont': {'side': 0, 'role': 'Department of Justice, argued the cause for the respondent'}, 'graydon_d_luthey_jr': {'side': 1, 'role': 'Argued the cause for the petitioners'}, 'grayton_d_luthey_jr': {'side': 1, 'role': 'inferred'}}",0,"{'j__william_h_rehnquist': 0, 'j__john_paul_stevens': 0, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 0, 'j__anthony_m_kennedy': 0, 'j__david_h_souter': 1, 'j__clarence_thomas': 0, 'j__ruth_bader_ginsburg': 0, 'j__stephen_g_breyer': 0}",2001
22912,[],2001_01-394,"{'richard_a_cordray': {'side': 1, 'role': 'Argued the cause for the petitioners'}, 'theodore_b_olson': {'side': 2, 'role': 'Solicitor General, Department of Justice, argued the cause for the United States, as amicus curiae, supporting the petitioners'}, 'jennifer_k_harbury': {'side': 0, 'role': 'Argued the cause for the respondent'}, 'the_marshal': {'side': 3, 'role': 'inferred'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 1, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
21585,[],2001_01-419,"{'richard_a_cordray': {'side': 0, 'role': 'Argued the cause for the respondents'}, 'malcolm_l_stewart': {'side': 2, 'role': 'Argued the cause for the United States, as amicus curiae, supporting the petitioners'}, 'jeffrey_s_sutton': {'side': 1, 'role': 'Argued the cause for the petitioners'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 0, 'j__antonin_scalia': 0, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
22066,[],2001_00-799,"{'michael_l_klekner': {'side': 1, 'role': 'Los Angeles, California argued the cause for the petitioner'}, 'john_h_weston': {'side': 0, 'role': 'Argued the cause for the respondent'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 0, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 1, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 0, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 0, 'j__stephen_g_breyer': 0}",2001
23067,[],2001_00-860,"{'carter_g_phillips': {'side': 1, 'role': 'Argued the cause for the petitioner'}, 'steven_pasternak': {'side': 0, 'role': 'Argued the cause for the respondent'}, 'jeffrey_a_lamken': {'side': 2, 'role': 'Argued the cause for the United States, as amicus curiae, by special leave of court, supporting the petitioner'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 0, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 1, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 0, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 0, 'j__stephen_g_breyer': 0}",2001
23124,[],2001_00-1770,"{'paul_a_renne': {'side': 0, 'role': 'Argued the cause for the respondents'}, 'james_a_feldman': {'side': 1, 'role': 'Argued the cause for the petitioner in No. 00-1770'}, 'gary_t_lafayette': {'side': 1, 'role': 'Argued the cause for the petitioners in No. 00-1781'}, 'paul_renne': {'side': 0, 'role': 'argued the cause for respondents in both cases'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 1, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 1}",2001
22983,[],2001_01-417,"{'patricia_a_millett': {'side': 2, 'role': 'Argued the cause for the United States, as amicus curiae, supporting the respondents'}, 'thomas_c_goldstein': {'side': 1, 'role': 'Argued the case for the petitioner'}, 'laurence_e_gold': {'side': 0, 'role': 'Argued the cause for the respondents'}, 'laurence_gold': {'side': 0, 'role': 'argued the cause for respondents'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 0, 'j__anthony_m_kennedy': 0, 'j__david_h_souter': 1, 'j__clarence_thomas': 0, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
21717,[],2001_00-6567,"{'allison_m_zieve': {'side': 1, 'role': 'Argued the cause for the petitioner'}, 'jeffrey_p_minear': {'side': 0, 'role': 'Argued the cause for the respondent'}}",0,"{'j__william_h_rehnquist': 0, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 0, 'j__antonin_scalia': 0, 'j__anthony_m_kennedy': 0, 'j__david_h_souter': 1, 'j__clarence_thomas': 0, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
22278,[],2001_00-1072,"{'eric_schnapper': {'side': 1, 'role': 'Argued the cause for the petitioner'}, 'lisa_s_blatt': {'side': 2, 'role': 'Argued the cause for the United States, as amicus curiae, supporting the petitioner'}, 'alexander_w_bell': {'side': 0, 'role': 'argued the cause for respondent'}, 'the_marshal': {'side': 3, 'role': 'inferred'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 1, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
22322,[],2001_99-1823,"{'paul_d_clement': {'side': 1, 'role': 'On behalf of the petitioner'}, 'david_l_gordon': {'side': 0, 'role': 'Argued the cause for the respondent'}}",1,"{'j__william_h_rehnquist': 0, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 0, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 0, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
21345,[],2001_01-46,"{'paul_d_clement': {'side': 1, 'role': 'Argued the cause for the United States, supporting the petitioner'}, 'phillip_c_hughey': {'side': 1, 'role': 'Argued the cause for the petitioner Federal Maritime Commission'}, 'warren_l_dean_jr': {'side': 0, 'role': 'Argued the cause for the respondent'}, '': {'side': 0, 'role': ""argued the cause for the United States, respondent under this Court's Rule 12.6, urging reversal""}}",0,"{'j__william_h_rehnquist': 0, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 0, 'j__antonin_scalia': 0, 'j__anthony_m_kennedy': 0, 'j__david_h_souter': 1, 'j__clarence_thomas': 0, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
23191,[],2001_00-1543,"{'robert_h_bork': {'side': 1, 'role': 'Argued the cause for the petitioner'}, 'arthur_i_neustadt': {'side': 0, 'role': 'Argued the cause for the respondents'}, 'lawrence_g_wallace': {'side': 2, 'role': 'Argued the cause for the United States, as amicus curiae, supporting vacatur and remand'}, 'deputy_solicitor_general_wallace': {'side': 2, 'role': 'argued the cause for the United States as amicus curiae'}}",0,"{'j__william_h_rehnquist': 0, 'j__john_paul_stevens': 0, 'j__sandra_day_oconnor': 0, 'j__antonin_scalia': 0, 'j__anthony_m_kennedy': 0, 'j__david_h_souter': 0, 'j__clarence_thomas': 0, 'j__ruth_bader_ginsburg': 0, 'j__stephen_g_breyer': 0}",2001
23605,[],2001_01-455,"{'jeff_h_eckland': {'side': 1, 'role': 'for the petitioners'}, 'matthew_d_roberts': {'side': 0, 'role': 'for the respondent'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 1, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
21457,[],2001_01-131,"{'eric_schnaufer': {'side': 1, 'role': 'Argued the cause for the petitioners'}, 'david_b_salmons': {'side': 0, 'role': 'Argued the cause for the respondent'}, 'jeffrey_robert_white': {'side': 2, 'role': 'for the Association of Trial Lawyers of America as amicus curiae urging reversal'}, 'nancy_g_shor': {'side': 2, 'role': ""for the National Organization of Social Security Claimants' Representatives as amicus curiae""}, 'kirk_b_roose': {'side': 2, 'role': ""for the National Organization of Social Security Claimants' Representatives as amicus curiae""}, 'joel_f_friedman': {'side': 2, 'role': ""for the National Organization of Social Security Claimants' Representatives as amicus curiae""}, 'robert_e_rains': {'side': 2, 'role': ""for the National Organization of Social Security Claimants' Representatives as amicus curiae""}, 'eric_buchanan': {'side': 2, 'role': ""for the National Organization of Social Security Claimants' Representatives as amicus curiae""}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 0, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
22007,[],2001_01-679,"{'beth_s_brinkmann': {'side': 0, 'role': 'Argued the cause for the respondent'}, 'patricia_a_millett': {'side': 2, 'role': 'Argued the cause for the United States, as amicus curiae, supporting the petitioners'}, 'john_g_roberts_jr': {'side': 1, 'role': 'argued the cause for petitioners'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 0, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 1, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 0, 'j__stephen_g_breyer': 1}",2001
22512,[],2001_99-1786,"{'richard_g_taranto': {'side': 0, 'role': 'Argued the cause for the respondents'}, 'james_f_jorden': {'side': 1, 'role': 'On behalf of the petitioners'}, 'paul_r_q_wolfson': {'side': 2, 'role': 'Argued the cause for the United States, as amicus curiae, by special leave of court, supporting the petitioners'}}",0,"{'j__william_h_rehnquist': 0, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 0, 'j__antonin_scalia': 0, 'j__anthony_m_kennedy': 0, 'j__david_h_souter': 1, 'j__clarence_thomas': 0, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
21628,[],2001_00-10666,"{'william_c_ingram': {'side': 1, 'role': 'Argued the cause for the petitioner'}, 'michael_r_dreeben': {'side': 0, 'role': 'Argued the cause for the respondent'}}",0,"{'j__william_h_rehnquist': 0, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 0, 'j__antonin_scalia': 0, 'j__anthony_m_kennedy': 0, 'j__david_h_souter': 1, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 0}",2001
22428,[],2001_00-1595,"{'ryan_d_mccortney': {'side': 1, 'role': 'Argued the cause for the petitioner'}, 'paul_r_q_wolfson': {'side': 0, 'role': 'Argued the cause for the respondent'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 0, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 1, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 0, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 0, 'j__stephen_g_breyer': 0}",2001
23018,[],2001_01-408,"{'james_w_dabney': {'side': 1, 'role': 'Argued the cause for the petitioner'}, 'peter_w_gowdey': {'side': 0, 'role': 'Argued the cause for the respondent'}, 'david_w_long': {'side': 2, 'role': 'for the Patent, Trademark, and Copyright Section of the Bar Association of the District of Columbia as amicus curiae'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 1, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
23617,[],2001_01-309,"{'craig_t_jones': {'side': 1, 'role': 'for the petitioner'}, 'austin_c_schlick': {'side': 2, 'role': 'Assistant to the Solicitor General, Department of Justice, for the United States, as amicus curiae, in support of the petitioner'}, 'nathan_a_forrester': {'side': 0, 'role': 'for the respondents'}, 'gene_c_schaerr': {'side': 2, 'role': 'for Missouri et al., as amicus curiae, in support of the respondents'}}",1,"{'j__william_h_rehnquist': 0, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 0, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 0, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
21309,[],2001_99-1996,"{'edmund_j_sease': {'side': 0, 'role': 'Argued the cause for the respondent'}, 'bruce_e_johnson': {'side': 1, 'role': 'Argued the cause for the petitioners'}, 'lawrence_g_wallace': {'side': 2, 'role': 'Department of Justice, on behalf of the United States, as amicus curiae, in support of the respondent'}}",0,"{'j__william_h_rehnquist': 0, 'j__john_paul_stevens': 1, 'j__antonin_scalia': 0, 'j__anthony_m_kennedy': 0, 'j__david_h_souter': 0, 'j__clarence_thomas': 0, 'j__ruth_bader_ginsburg': 0, 'j__stephen_g_breyer': 1}",2001
23510,[],2001_01-651,"{'sarah_l_reid': {'side': 1, 'role': 'Argued the cause for the petitioner'}, 'jeffrey_p_minear': {'side': 2, 'role': 'Argued the cause for the United States, as amicus curiae, supporting the petitioner'}, 'craig_j_albert': {'side': 0, 'role': 'Argued the cause for the respondent'}, 'mark_n_bravin': {'side': 2, 'role': 'for the Government of the United Kingdom of Great Britain and Northern Ireland as amicus curiae urging reversal'}, 'peter_buscemi': {'side': 2, 'role': 'for the Government of the United Kingdom of Great Britain and Northern Ireland as amicus curiae urging reversal'}, 'the_marshal': {'side': 3, 'role': 'inferred'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 1, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
22976,[],2001_00-957,"{'carla_j_stovall': {'side': 1, 'role': 'Topeka, Kansas, argued the cause for the petitioner'}, 'john_c_donham': {'side': 0, 'role': 'Kansas, argued the cause for the respondent'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 0, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 0, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
22625,[],2001_00-9280,"{'david_i_bruck': {'side': 1, 'role': 'Argued the cause for the petitioner'}, 's_creighton_waters': {'side': 0, 'role': 'South Carolina, argued the cause for the respondent'}}",1,"{'j__william_h_rehnquist': 0, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 0, 'j__anthony_m_kennedy': 0, 'j__david_h_souter': 1, 'j__clarence_thomas': 0, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
22265,[],2001_01-298,"{'david_j_bederman': {'side': 1, 'role': 'argued the cause for petitioner'}, 'julie_c_parsley': {'side': 2, 'role': 'Austin, Texas, argued the cause for the Texas, e al., as amicus curiae, supporting the respondents'}, 'devon_orland': {'side': 0, 'role': 'Atlanta, Georgia, argued the cause for the respondents'}, 'irving_l_gornstein': {'side': 2, 'role': 'Argued the cause for the United States, as amicus curiae, supporting the petitioner'}, 'john_townsend_rich': {'side': 2, 'role': 'for Ceres Marine Terminals, Inc., as amicus curiae urging reversal'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 1, 'j__anthony_m_kennedy': 1, 'j__david_h_souter': 1, 'j__clarence_thomas': 1, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
23119,[],2001_00-6933,"{'bonnie_i_robin_vergeer': {'side': 1, 'role': 'Argued the cause for the petitioner'}, 'paul_c_wilson': {'side': 0, 'role': 'Jefferson City, Missouri, argued the cause for the respondent'}}",1,"{'j__william_h_rehnquist': 1, 'j__john_paul_stevens': 1, 'j__sandra_day_oconnor': 1, 'j__antonin_scalia': 0, 'j__anthony_m_kennedy': 0, 'j__david_h_souter': 1, 'j__clarence_thomas': 0, 'j__ruth_bader_ginsburg': 1, 'j__stephen_g_breyer': 1}",2001
22597,[],2001_00-878,"{'joel_d_bertocchi': {'side': 1, 'role': 'Argued the cause for the petitioners'}, 'barbara_b_mcdowell': {'side': 0, 'role': 'Argued the cause for the respondent United States'}, 'paul_m_smith': {'side': 0, 'role': 'Argued the cause for the respondents WorldCom Technologies, Inc., MCI WORLDCOM Network Services, Inc., MCImetro Access Services LLC, and Focal Communi'}, 'barbara_mcdowell': {'side': 0, 'role': ""argued the cause for the United States as respondent under this Court's Rule 12.6 urging affirmance""}}",2,"{'j__william_h_rehnquist': -1, 'j__john_paul_stevens': -1, 'j__sandra_day_oconnor': -1, 'j__antonin_scalia': -1, 'j__anthony_m_kennedy': -1, 'j__david_h_souter': -1, 'j__clarence_thomas': -1, 'j__ruth_bader_ginsburg': -1, 'j__stephen_g_breyer': -1}",2001
